POINT_X,POINT_Y,PM25_INDDD,PM10_INDDD,NOx_INDDD,SO2_INDDD,CO_INDDD,VOC_INDDD
77.28,28.5,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.3,28.51,14.74,26.27,59.43,236.5,7.725797101,0.0
77.14,28.51,24.56,43.78,99.03,394.1,12.88,0.0
77.23,28.51,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.29,28.51,24.56,43.78,99.03,394.1,12.88,0.0
77.3,28.51,54.04,96.3,217.9,867.0,28.33,0.0
77.11,28.51,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.28,28.51,14.74,26.27,59.43,236.5,7.725797101,0.0
77.29,28.51,34.38,61.3,138.6,551.8,18.03,0.0
77.3,28.51,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.28,28.52,29.47,52.55,118.8,472.9,15.45,0.0
77.28,28.52,68.78,122.6,277.4,1103.0,36.06,0.0
77.29,28.52,63.86,113.8,257.6,1025.0,33.48,0.0
77.21,28.52,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.27,28.52,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.28,28.52,58.95,105.1,237.8,946.0,30.91,0.0
77.28,28.52,34.38,61.3,138.6,551.8,18.03,0.0
77.29,28.52,78.59,140.1,317.0,1261.0,41.21,0.0
77.29,28.52,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.14,28.53,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.22,28.53,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.27,28.53,24.56,43.78,99.03,394.1,12.88,0.0
77.28,28.53,93.33,166.4,376.4,1498.0,48.93,0.0
77.28,28.53,103.2,183.9,416.0,1655.0,54.08,0.0
77.29,28.53,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.29,28.53,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.27,28.53,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.27,28.53,24.56,43.78,99.03,394.1,12.88,0.0
77.28,28.53,49.12,87.55,198.1,788.3,25.75,0.0
77.29,28.53,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.27,28.53,19.65,35.03,79.24,315.3,10.3,0.0
77.27,28.53,14.74,26.27,59.43,236.5,7.725797101,0.0
77.28,28.53,29.47,52.55,118.8,472.9,15.45,0.0
77.28,28.53,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.29,28.53,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.24,28.54,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.27,28.54,29.47,52.55,118.8,472.9,15.45,0.0
77.28,28.54,24.56,43.78,99.03,394.1,12.88,0.0
77.29,28.54,14.74,26.27,59.43,236.5,7.725797101,0.0
77.26,28.54,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.28,28.54,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.25,28.55,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.25,28.55,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.27,28.55,19.65,35.03,79.24,315.3,10.3,0.0
77.27,28.55,19.65,35.03,79.24,315.3,10.3,0.0
77.27,28.55,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.13,28.55,14.74,26.27,59.43,236.5,7.725797101,0.0
77.25,28.55,14.74,26.27,59.43,236.5,7.725797101,0.0
77.27,28.55,113.0,201.4,455.6,1813.0,59.23,0.0
77.27,28.55,157.2,280.2,633.9,2523.0,82.41,0.0
77.27,28.55,63.86,113.8,257.6,1025.0,33.48,0.0
77.27,28.55,19.65,35.03,79.24,315.3,10.3,0.0
77.2,28.56,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.25,28.56,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.27,28.56,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.27,28.56,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.19,28.57,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.19,28.57,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.24,28.57,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.24,28.57,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.24,28.59,29.47,52.55,118.8,472.9,15.45,0.0
77.2,28.6,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.29,28.61,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
76.99,28.61,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.3,28.61,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.11,28.61,39.3,70.06,158.4,630.6,20.6,0.0
77.11,28.61,19.65,35.03,79.24,315.3,10.3,0.0
77.07,28.62,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.11,28.62,19.65,35.03,79.24,315.3,10.3,0.0
77.11,28.62,29.47,52.55,118.8,472.9,15.45,0.0
77.12,28.62,34.38,61.3,138.6,551.8,18.03,0.0
77.12,28.62,29.47,52.55,118.8,472.9,15.45,0.0
77.07,28.62,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.11,28.62,19.65,35.03,79.24,315.3,10.3,0.0
77.12,28.62,63.86,113.8,257.6,1025.0,33.48,0.0
77.12,28.62,83.51,148.9,336.8,1340.0,43.78,0.0
77.13,28.62,34.38,61.3,138.6,551.8,18.03,0.0
77.13,28.62,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.14,28.62,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.16,28.62,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.29,28.62,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.12,28.63,14.74,26.27,59.43,236.5,7.725797101,0.0
77.12,28.63,280.0,499.2,1129.0,4493.0,146.8,0.0
77.13,28.63,176.8,315.3,713.2,2838.0,92.73,0.0
77.13,28.63,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.22,28.63,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.12,28.63,14.74,26.27,59.43,236.5,7.725797101,0.0
77.13,28.63,245.6,437.8,990.3,3941.0,128.8,0.0
77.13,28.63,103.2,183.9,416.0,1655.0,54.08,0.0
77.13,28.63,172.0,306.5,693.4,2759.0,90.1,0.0
77.14,28.63,88.4,157.7,356.6,1419.0,46.36,0.0
77.21,28.63,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.22,28.63,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.24,28.63,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.24,28.63,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.13,28.63,58.95,105.1,237.8,946.0,30.91,0.0
77.13,28.63,14.74,26.27,59.43,236.5,7.725797101,0.0
77.13,28.63,83.51,148.9,336.8,1340.0,43.78,0.0
77.14,28.63,196.5,350.3,792.4,3153.0,103.0,0.0
77.14,28.63,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.22,28.63,24.56,43.78,99.03,394.1,12.88,0.0
77.22,28.63,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.23,28.63,14.74,26.27,59.43,236.5,7.725797101,0.0
77.14,28.64,34.38,61.3,138.6,551.8,18.03,0.0
77.31,28.64,68.78,122.6,277.4,1103.0,36.06,0.0
77.31,28.64,137.5,245.2,554.7,2207.0,72.1,0.0
77.31,28.64,34.38,61.3,138.6,551.8,18.03,0.0
77.01,28.64,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.15,28.64,152.2,271.5,614.1,2444.0,79.83,0.0
77.23,28.64,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.24,28.64,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.31,28.64,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.14,28.65,29.47,52.55,118.8,472.9,15.45,0.0
77.15,28.65,83.51,148.9,336.8,1340.0,43.78,0.0
77.17,28.65,24.56,43.78,99.03,394.1,12.88,0.0
77.19,28.65,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.2,28.65,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.21,28.65,29.47,52.55,118.8,472.9,15.45,0.0
77.22,28.65,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.14,28.65,34.38,61.3,138.6,551.8,18.03,0.0
77.15,28.65,73.68,131.3,297.2,1182.0,38.63,0.0
77.15,28.65,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.16,28.65,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.16,28.65,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.23,28.65,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.23,28.65,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.09,28.65,19.65,35.03,79.24,315.3,10.3,0.0
77.12,28.65,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.14,28.65,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.15,28.65,63.86,113.8,257.6,1025.0,33.48,0.0
77.15,28.65,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.21,28.65,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.14,28.66,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.15,28.66,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.15,28.66,14.74,26.27,59.43,236.5,7.725797101,0.0
77.15,28.66,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.17,28.66,29.47,52.55,118.8,472.9,15.45,0.0
77.17,28.66,162.1,289.0,653.8,2601.0,84.98,0.0
77.18,28.66,58.95,105.1,237.8,946.0,30.91,0.0
77.21,28.66,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.12,28.66,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.15,28.66,34.38,61.3,138.6,551.8,18.03,0.0
77.15,28.66,24.56,43.78,99.03,394.1,12.88,0.0
77.16,28.66,29.47,52.55,118.8,472.9,15.45,0.0
77.17,28.66,34.38,61.3,138.6,551.8,18.03,0.0
77.17,28.66,756.5,1349.0,3051.0,12140.0,396.6,0.0
77.18,28.66,923.1,1646.0,3724.0,14820.0,484.2,0.0
77.18,28.66,44.21,78.82,178.3,709.4,23.18,0.0
77.2,28.66,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.23,28.66,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.12,28.67,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.15,28.67,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.16,28.67,34.38,61.3,138.6,551.8,18.03,0.0
77.16,28.67,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.17,28.67,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.13,28.67,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.14,28.67,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.15,28.67,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.17,28.67,117.9,210.2,475.4,1892.0,61.8,0.0
77.17,28.67,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.17,28.67,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.31,28.67,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.12,28.67,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.3,28.67,24.56,43.78,99.03,394.1,12.88,0.0
77.3,28.67,24.56,43.78,99.03,394.1,12.88,0.0
77.31,28.67,14.74,26.27,59.43,236.5,7.725797101,0.0
77.31,28.67,117.9,210.2,475.4,1892.0,61.8,0.0
77.31,28.67,122.8,219.0,495.2,1970.0,64.38,0.0
77.32,28.67,167.0,297.8,673.6,2680.0,87.55,0.0
77.32,28.67,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.03,28.68,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.03,28.68,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.14,28.68,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.15,28.68,108.0,192.7,435.8,1734.0,56.65,0.0
77.15,28.68,63.86,113.8,257.6,1025.0,33.48,0.0
77.15,28.68,14.74,26.27,59.43,236.5,7.725797101,0.0
77.16,28.68,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.2,28.68,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.2,28.68,14.74,26.27,59.43,236.5,7.725797101,0.0
77.21,28.68,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.29,28.68,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.32,28.68,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.04,28.68,19.65,35.03,79.24,315.3,10.3,0.0
77.05,28.68,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.09,28.68,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.1,28.68,14.74,26.27,59.43,236.5,7.725797101,0.0
77.15,28.68,44.21,78.82,178.3,709.4,23.18,0.0
77.15,28.68,113.0,201.4,455.6,1813.0,59.23,0.0
77.15,28.68,103.2,183.9,416.0,1655.0,54.08,0.0
77.16,28.68,44.21,78.82,178.3,709.4,23.18,0.0
77.29,28.68,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.03,28.69,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.04,28.69,14.74,26.27,59.43,236.5,7.725797101,0.0
77.06,28.69,19.65,35.03,79.24,315.3,10.3,0.0
77.09,28.69,29.47,52.55,118.8,472.9,15.45,0.0
77.09,28.69,44.21,78.82,178.3,709.4,23.18,0.0
77.09,28.69,24.56,43.78,99.03,394.1,12.88,0.0
77.1,28.69,98.26,175.2,396.2,1577.0,51.5,0.0
77.1,28.69,83.51,148.9,336.8,1340.0,43.78,0.0
77.28,28.69,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.06,28.69,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.08,28.69,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.08,28.69,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.09,28.69,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.1,28.69,34.38,61.3,138.6,551.8,18.03,0.0
77.13,28.69,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.33,28.69,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.09,28.69,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.09,28.69,14.74,26.27,59.43,236.5,7.725797101,0.0
77.1,28.69,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.1,28.69,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.16,28.69,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.16,28.69,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.17,28.69,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.18,28.69,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.19,28.69,34.38,61.3,138.6,551.8,18.03,0.0
77.08,28.7,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.09,28.7,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.16,28.7,83.51,148.9,336.8,1340.0,43.78,0.0
77.16,28.7,206.3,367.8,832.0,3311.0,108.1,0.0
77.17,28.7,284.9,508.0,1149.0,4572.0,149.3,0.0
77.17,28.7,34.38,61.3,138.6,551.8,18.03,0.0
77.19,28.7,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.21,28.7,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.32,28.7,24.56,43.78,99.03,394.1,12.88,0.0
77.13,28.7,14.74,26.27,59.43,236.5,7.725797101,0.0
77.16,28.7,34.38,61.3,138.6,551.8,18.03,0.0
77.17,28.7,58.95,105.1,237.8,946.0,30.91,0.0
77.17,28.7,88.4,157.7,356.6,1419.0,46.36,0.0
77.17,28.7,73.68,131.3,297.2,1182.0,38.63,0.0
77.18,28.7,24.56,43.78,99.03,394.1,12.88,0.0
77.17,28.71,19.65,35.03,79.24,315.3,10.3,0.0
77.17,28.71,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.17,28.71,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.17,28.71,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.1,28.72,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.16,28.72,58.95,105.1,237.8,946.0,30.91,0.0
77.0,28.73,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.16,28.73,44.21,78.82,178.3,709.4,23.18,0.0
77.16,28.73,39.3,70.06,158.4,630.6,20.6,0.0
77.16,28.73,39.3,70.06,158.4,630.6,20.6,0.0
77.25,28.73,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.13,28.75,363.5,648.0,1466.0,5834.0,190.6,0.0
77.13,28.75,270.1,481.7,1090.0,4336.0,141.6,0.0
77.05,28.78,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.05,28.78,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.06,28.78,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.05,28.78,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.05,28.78,19.65,35.03,79.24,315.3,10.3,0.0
77.05,28.78,24.56,43.78,99.03,394.1,12.88,0.0
77.06,28.78,14.74,26.27,59.43,236.5,7.725797101,0.0
77.04,28.79,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.05,28.79,29.47,52.55,118.8,472.9,15.45,0.0
77.05,28.79,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.05,28.79,34.38,61.3,138.6,551.8,18.03,0.0
77.06,28.79,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.04,28.79,14.74,26.27,59.43,236.5,7.725797101,0.0
77.05,28.79,14.74,26.27,59.43,236.5,7.725797101,0.0
77.05,28.79,19.65,35.03,79.24,315.3,10.3,0.0
77.05,28.79,19.65,35.03,79.24,315.3,10.3,0.0
77.06,28.79,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.06,28.79,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.04,28.79,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.05,28.79,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.05,28.79,14.74,26.27,59.43,236.5,7.725797101,0.0
77.05,28.79,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.06,28.79,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.05,28.8,14.74,26.27,59.43,236.5,7.725797101,0.0
77.05,28.8,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.05,28.8,24.56,43.78,99.03,394.1,12.88,0.0
77.08,28.8,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.08,28.8,19.65,35.03,79.24,315.3,10.3,0.0
77.05,28.8,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.07,28.8,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.08,28.8,14.74,26.27,59.43,236.5,7.725797101,0.0
